width 45
height 45
1 44 15
8 44 4
11 44 4
13 44 6
14 44 6
17 44 19
21 44 19
23 44 3
25 44 3
28 44 6
29 44 17
31 44 3
33 44 3
37 44 17
41 44 17
42 44 7
6 43 15
19 43 1
26 43 15
31 43 1
33 43 1
35 43 4
39 43 2
43 43 7
0 42 2
1 42 2
4 42 3
8 42 17
9 42 15
10 42 15
15 42 2
18 42 2
21 42 2
22 42 2
24 42 1
26 42 1
32 42 1
39 42 2
5 41 3
7 41 4
10 41 4
12 41 5
15 41 2
18 41 2
21 41 1
24 41 17
27 41 1
30 41 6
34 41 4
37 41 4
41 41 4
44 41 6
1 40 18
3 40 5
9 40 3
11 40 5
16 40 3
25 40 5
33 40 17
38 40 1
40 40 17
42 40 2
4 39 5
10 39 3
14 39 3
17 39 3
22 39 6
28 39 3
30 39 4
35 39 2
36 39 2
42 39 2
8 38 6
12 38 17
15 38 3
22 38 2
24 38 6
28 38 4
29 38 3
30 38 4
33 38 15
35 38 3
37 38 4
39 38 1
41 38 4
6 37 6
10 37 18
16 37 5
17 37 15
18 37 3
21 37 2
22 37 2
26 37 5
30 37 4
31 37 3
33 37 3
34 37 3
35 37 3
37 37 3
39 37 3
41 37 3
43 37 6
0 36 16
2 36 6
3 36 16
8 36 1
13 36 3
17 36 3
21 36 2
24 36 3
27 36 16
31 36 2
32 36 2
34 36 2
38 36 1
42 36 17
44 36 3
3 35 15
4 35 1
7 35 5
9 35 15
11 35 5
14 35 3
22 35 2
24 35 17
25 35 3
27 35 3
29 35 6
34 35 2
35 35 2
36 35 2
37 35 9
39 35 3
40 35 1
1 34 6
5 34 15
8 34 5
9 34 3
10 34 18
12 34 5
16 34 3
17 34 5
22 34 2
27 34 6
28 34 3
30 34 4
32 34 6
44 34 3
3 33 1
10 33 3
13 33 3
14 33 2
15 33 3
36 33 4
39 33 3
44 33 3
2 32 3
4 32 3
6 32 17
14 32 2
23 32 3
25 32 3
31 32 4
34 32 16
38 32 10
43 32 19
0 31 4
5 31 1
7 31 5
11 31 5
13 31 3
16 31 3
27 31 2
28 31 2
32 31 6
34 31 16
35 31 4
39 31 8
44 31 3
2 30 4
4 30 2
6 30 1
15 30 2
16 30 2
17 30 3
19 30 3
22 30 5
23 30 4
31 30 9
37 30 8
1 29 4
4 29 2
5 29 4
10 29 2
11 29 2
13 29 3
15 29 8
18 29 3
19 29 5
21 29 4
24 29 9
25 29 3
27 29 3
41 29 16
42 29 10
43 29 18
1 28 4
2 28 18
3 28 15
5 28 4
8 28 4
9 28 4
12 28 3
13 28 1
16 28 2
17 28 2
28 28 1
32 28 6
33 28 3
36 28 9
40 28 5
3 27 18
7 27 17
11 27 8
18 27 4
21 27 4
22 27 15
24 27 15
27 27 2
32 27 3
34 27 6
1 26 5
4 26 3
5 26 18
7 26 8
9 26 3
10 26 1
15 26 3
19 26 2
20 26 2
23 26 1
25 26 5
27 26 2
35 26 1
38 26 5
42 26 18
43 26 19
2 25 5
8 25 3
11 25 5
17 25 5
19 25 1
22 25 5
28 25 2
32 25 3
34 25 3
36 25 18
0 24 4
4 24 3
8 24 1
10 24 5
15 24 3
17 24 8
20 24 5
26 24 2
27 24 2
28 24 2
33 24 4
34 24 4
35 24 2
39 24 10
41 24 2
42 24 2
43 24 6
2 23 4
10 23 17
21 23 4
24 23 4
32 23 4
35 23 2
38 23 6
4 22 18
7 22 6
10 22 2
11 22 2
13 22 1
16 22 1
18 22 2
19 22 2
28 22 6
34 22 4
42 22 5
44 22 6
1 21 4
12 21 3
14 21 3
23 21 3
25 21 6
30 21 6
32 21 6
41 21 16
3 20 4
5 20 16
7 20 15
8 20 3
10 20 5
21 20 1
23 20 17
24 20 3
33 20 2
40 20 5
43 20 4
0 19 1
4 19 1
7 19 3
12 19 4
15 19 5
19 19 5
30 19 1
32 19 8
33 19 2
37 19 6
39 19 10
43 19 4
1 18 9
2 18 1
6 18 6
13 18 1
14 18 4
15 18 16
17 18 4
20 18 4
21 18 16
22 18 1
25 18 4
27 18 2
28 18 1
31 18 17
39 18 1
7 17 2
8 17 2
11 17 2
19 17 2
23 17 4
27 17 2
33 17 2
38 17 3
40 17 1
42 17 18
3 16 18
7 16 3
8 16 5
10 16 5
11 16 2
12 16 4
15 16 5
19 16 2
21 16 3
23 16 3
30 16 8
31 16 17
33 16 2
37 16 3
38 16 4
43 16 5
0 15 9
1 15 2
2 15 2
6 15 3
7 15 2
9 15 5
12 15 4
18 15 5
27 15 1
32 15 1
36 15 4
38 15 4
41 15 3
44 15 5
4 14 3
7 14 2
11 14 4
15 14 2
16 14 2
24 14 16
25 14 1
26 14 16
33 14 3
35 14 3
36 14 4
42 14 3
1 13 10
3 13 3
6 13 7
9 13 4
11 13 3
13 13 3
14 13 3
27 13 5
28 13 6
33 13 6
41 13 2
43 13 9
7 12 1
13 12 3
15 12 12
26 12 12
30 12 5
36 12 1
41 12 2
0 11 4
1 11 16
34 11 3
36 11 3
41 11 9
44 11 16
1 10 10
3 10 2
4 10 2
7 10 16
8 10 1
10 10 3
12 10 2
13 10 2
22 10 6
27 10 6
32 10 4
35 10 4
41 10 1
44 10 3
1 9 4
7 9 4
14 9 10
21 9 10
25 9 17
26 9 16
33 9 3
35 9 4
43 9 3
3 8 2
4 8 2
10 8 3
12 8 3
14 8 3
16 8 18
18 8 9
21 8 4
22 8 4
24 8 5
26 8 6
28 8 17
29 8 5
31 8 1
34 8 1
36 8 2
42 8 3
4 7 14
6 7 7
9 7 2
10 7 2
17 7 9
23 7 5
27 7 4
29 7 16
30 7 5
33 7 3
36 7 2
41 7 3
44 7 17
1 6 5
5 6 5
7 6 4
8 6 5
12 6 5
17 6 2
18 6 2
19 6 5
21 6 5
23 6 18
25 6 6
32 6 2
34 6 4
35 6 4
40 6 3
43 6 1
44 6 6
11 5 16
14 5 4
15 5 4
20 5 3
22 5 3
32 5 2
36 5 4
39 5 3
2 4 4
5 4 4
6 4 14
9 4 7
15 4 4
18 4 4
27 4 4
30 4 1
32 4 7
33 4 2
34 4 2
37 4 1
41 4 3
43 4 6
0 3 7
4 3 7
8 3 4
11 3 4
13 3 4
20 3 6
25 3 6
29 3 7
35 3 3
37 3 3
39 3 2
40 3 3
44 3 6
1 2 2
2 2 2
6 2 18
13 2 4
14 2 2
15 2 2
19 2 1
30 2 7
33 2 17
39 2 2
43 2 10
1 1 4
4 1 4
8 1 3
10 1 3
17 1 19
20 1 18
25 1 6
30 1 6
31 1 19
35 1 7
40 1 2
41 1 2
43 1 6
3 0 7
4 0 3
6 0 3
22 0 2
23 0 2
36 0 10
